,tweet_raw_text,task_1
0,I am so eleldllwlrlwkrkks I fucking LOVE THEM,HOF
1,: - Modi means Business - Why Modi matters - India's Divider in CHIEF.Modi's achievement in yrs! https:/,NOT
2,": ""come on karen, it was just one gaming session that got out of hand! besides, you're one of my best friends, surely i ca",NOT
3,Yup yup keep talkin. What card??,NOT
4,: daniel ig update with a long letterhe said he wrote this as he want to deliver the news personally to fans who have waited,NOT
5,"I hate reading, like I cant do it unless u want me to : sleep, be confused as hell and or I can die",NOT
6,dont do this sean i think youll die if you uphold this dare,HOF
7,": ""The only reason left to support this President is that he reflects your hateful heart, shares your contempt of people o",NOT
8,Damn hoe I was at work,HOF
9,: The man you can't stop thinking about is currently sending some other girl transport money to go and spend the weekend w,NOT
10,"hate wen females hit ah nigga with tht bro , Im tryna make u my la sweety , fuck ah bro",HOF
11,: You're openly admitting to never ever washing your genitals and bum. This is not a class issue. You're classist implying po,NOT
12,Thats definitely her ass cheeks,HOF
13,: If you dont help me with shit dont ask me for shit .,HOF
14,": . my friends are getting married mins away from Glastonbury on the th June, youre only round the corn",NOT
15,: The planet is on fire and you fucking ostriches are wasting your time attempting to abolish abortion. What world are we leaving,HOF
16,You are going to find yourself in some lopsided games in your time on the court. How do you handle getting blown ou,NOT
17,The mother of DRAGONS,NOT
18,I cant get the days free trial please fix I dont have money for ps plus I need this,NOT
19,Morning world,NOT
20,But for Jack? No one else could rein him in the way Jack could. Could cut through his bullshit and brav,HOF
21,"Sit yo ass down, Edmure",HOF
22,: People always thought that having anxiety is okay and some of them think those people really dont know how to control it. P,NOT
23,D'Antoni got to be the worst coach ever. Hyped up gas. Sits on the bench and calls no plays.,NOT
24,You're losing fam,NOT
25,": judging from their outfits, this was during their SXSW Festival performance binhwan being their weird ass selves in the wa",HOF
26,": Heading into weekend, Im grateful to my Mom, Wife, and all the Mothers I can think.Then I think about the wo",NOT
27,Idk why shes making it then,NOT
28,Think this would work with other shapes? Like something square or oblong?,NOT
29,people followed me // automatically checked by,NOT
30,": Hi, Lesley! This picture be a bit misleading. However, as someone who has raises sheep i can clear it up for you. This pictur",NOT
31,these niggas aint shit BUT THEY BE SO. FUCKING. FINE.,HOF
32,for what was great in the morning will be little at evening... C. G. Jung,NOT
33,American consumers pay this tax increase not China moron.,HOF
34,": seokjins mom: how can u not see me when im cheering like ""ahhhh!!! yahhh!!!!!! seokjin-ah!!!!!!!!!!!!!!!!!!! yahhhhh!!!!!!!!!!""",NOT
35,Bro I sick of being tried SMH,NOT
36,": BOOMNever Threaten the United States Again!!Hey World, The Apology Tour is Over! America is Strong Again and We Will Fi",HOF
37,: This Liar and Thief -Stolen Valor He Should be Charged!!,HOF
38,": If you saw our ad on Tucker Carlsons show, youre right to be upset. We are too. While we did place our ad with Fox, we did",NOT
39,: Liar and Coward Modi..... Not just Psychopath Modi..,HOF
40,: NOT A SINGLE THING lmaooo they used that shit to play him to kill Dany,HOF
41,What in the good shit is going on here?,HOF
42,: Go Go Go,NOT
43,: getting super frustrated with how many scientists I still see clinging to the science is apolitical bit like the planet is,NOT
44,: I Hate People That Make A Problem Out Of Everything . Fuck On,HOF
45,: Whoever is creating White Hulk edits:FUCKING STOP,HOF
46,": If you are doing something that hasn't really been done before, smart people will think:* it won't work* it is too unimport",NOT
47,"May , at10:46PM",NOT
48,": Yes, the court-martial hasn't even started, and President Trump is considering pardoning him before all the evidence is he",NOT
49,i fucking did everything i can,HOF
50,": Love is a myth, unless it's your mother, father and kidsYou beg to dif'Forgive 'em for their ignoranceThey not rememberin'",NOT
51,I wanna go out tonight,NOT
52,: Fuck them niggas for life the way they did me wrong.,HOF
53,": I like those nike shirts that just say somethin like ""FUCK SLEEP"" or ""HARDEST DICK IN THE ROOM"" on the front",HOF
54,"he is a tory isn't mates with cameron, That ben voice is fucking whiney and he i",HOF
55,: Abortion rights arent just about whether I can get one where I live you narrow fucking lemming.,HOF
56,: Plain woven raffia cloth (mkpuru?) taken from the Igbo ('Eboe') country by William Baikie before . British Museum. The firs,NOT
57,: no one will EVER be Blake Lively. never will come before her idc idc. she will always look better than anyone there. https:/,NOT
58,: i been wanting to go do this forever like a date or sum lol this shit fun,HOF
59,why is this even fucking happening rn,HOF
60,Oh. My. Fucking. Good. God! That is absolutely sensational from Messi. Wow!,HOF
61,"Seems like a trend for presidents to do nothing, huh big orange?",HOF
62,": First of all, we drink water. Secondly, what the fuck are you doing",HOF
63,": Based on your tax returns just for years, NY Times concludes you were a terrible business man (a total loser, in fact",NOT
64,Short answer: YOU need to GO AWAY!,HOF
65,What the fuck is going on in America?!,HOF
66,: can u fucking chill it wasnt him,HOF
67,Ah shit mtvs running a little late,HOF
68,MIGHT AS WELL JUST FUCKING KILL ME DAMN,HOF
69,": The Older I Get, The Finer I Get, The More Patience I Have, More Ass &amp; More Money, This Not Bad At All!",HOF
70,It's Friday and we all know what that means. Time for me to get my ass kicked.,HOF
71,Or just never do that like most people I don't think I ever actually checked my feed.,NOT
72,Liar Liar you should be fired but the President is a weenie and a meanie,HOF
73,: The two Standard bearers are from the Imperial Period. On the left is an Imaginifier (3D Emperor's image atop pole) wearing l,NOT
74,Lol - we are all just making it up as we go along,NOT
75,Not least fucking Farage and Anunziata...,HOF
76,": fuck nudes, send me songs you think i'd like",HOF
77,i need a bts concert to suck my sadness away,HOF
78,this shit getting ridiculous,HOF
79,"But like all Rich white men in the government, he'll still have his six figure job with bonuses tomorrow!",NOT
80,: Niggas will talk to and fuck anything. Any size any shape. Ugly or not. Dont ever feel flattered. Cuffing might be a dif,HOF
81,Here we go!,NOT
82,Well damn,HOF
83,today is the ticket selling ( which is free so mostly like to be sold out ) I think the show is on ? sumn,NOT
84,Are you tired little guy??,NOT
85,": Roy Keane: ''You look at Matthijs de Ligt, hes captaining Ajax at years old earning a modest wage. Meanwhile Rashford",NOT
86,Big fucking facts,HOF
87,: The BTS Effect as seen with the guy selling Pizza!! Doesnt matter what youre doing you need to stop and dance when you,NOT
