,tweet_raw_text,task_1
0,"आप भी जिस चैनल में जाते हैं ,  वहां की स्क्रिप्ट भी तय रहती है।",NOT
1,":  साल पुरानी पार्टी। और नेता केवल ,  राहुल ,  प्रियंका और सोनिया।  बाकि सब चमचा गिरी के बोझ तले दफ़न😹😹",NOT
2,:  ये गलत कर रहा है इसके खिलाफ fir होनी चाहिए असावटी गाँव जिला पलवल की बता रहे है https : //t.co/ZhhD0Hkut4,NOT
3,":  #वेद_मेरा_भेद_है नकली धर्मगुरुओं को ज्ञान होता तो  , ब्रह्मा  , विष्णु ,  महेश के माता पिता का नाम बता देते इन को कुछ भी ज्ञान न…",HOF
4,मोदी तो चोर है इसमें कोई किन्तु परंतु नहीं है रोहिंगिया या बंगला देशी मुस्लिम ही क्यू बंगला देशी हिन्दू को भी बाहर निकालना चाहिए। तड़ीपार बोलता है हम सिर्फ मुस्लिम को बाहर निकलेंगे वो ठीक है साला तड़ीपार पूरे देश में नफ़रत फैलाया है,HOF
5,:  खुद को कहता ये चौकीदार है। लेकिन नफरत फैलाना और देश को बाँटना ही इसका असली कारोबार है। https : //t.co/lIjLzfVwEE,HOF
6,"ओर उस से भगवान ने कह रखा हो कि मै उसको भेजूंगा ,   तो , 🤗🤔😊",NOT
7,:  नाली से गैस बनाने के बाद अब मोदी जी का नया एंटायर क्लाउड महाज्ञान  :   बादल व बारिश के कारण हम रेडार से बच सकते हैं - मोदी  —अब…,HOF
8,"के बाद और मौके मिलेंगे ,  विडियो बनाने के!! एक व्हाट्सप सरकार भी बना लेना!!😎",NOT
9,:  मसूद अजहर को ग्लोबल आतंकी घोषित करने पर अब कांग्रेसी और वामियों ने चीन को संघी घोषित किया। https : //t.co/7jny5TNvik,NOT
10,भारत के लिये बड़ी खबर मसूद अजहर को ग्लोबल आतंकवादी घोषित किया गया,NOT
11,:  मैं मुसलमान हूँ और मैं शपथ लेता हूँ कि कट्टरवादी चाहे मुझे कितनी भी गालियां दे या मेरे धर्म को निशाना बनाये मगर मैं कभी भी…,NOT
