,tweet_raw_text,task_1
0,I hate this guy Jisnay itni galat baat ke,HOF
1,Aur islamic terrorism worldwide phenomena hai tu ATS ke peeche laga hai jaise ATS hee sab kuch hai?,NOT
2,"tu hi bata de Bhai Tere MLA ne kitne rape kiye,kitni naqli degree bechi, kitno ne jnu Jakar anti national slogans lagwaye....",HOF
3,Bijnor me rape aur wo bhi polce man kitni sharam ki baat he kaha gya aap ka power,HOF
4,Chutiya\n\nMaha Chutiya\n\nRoadies/Splitsvilla/Bigg Boss ke participants,HOF
5,Khatma kyu nahi kar dete ?\n\nEk sochne wali baat samne aayi\n\nKya sabhi desh aur midiya m\xe2\x80\xa6,NOT
6,Kaahe ke Hindu bhamhanwadi se nafrat hai bus,NOT
7,Koi us bandar ko pahari se dhakka ya mukka marke pekh do.I hate that chepdi ragini.,HOF
8,Saale haalala ki aulad ..teri bibi ki choot mast hai re.baba,HOF
9,Haa yaar wahi hogi!Pehle meko laga joke hai fir dusra hate msg aagaya,NOT
10,ye to vahi bat hui ke ek dharm ka terrorism gaya dooja aa gaya. Bharat wapis th century mein nahi ja sakta,NOT
11,: \xe2\x80\xa6,NOT
12,Fuck off! Chal bhag yahan se madarchod,HOF
13,Ye bhai ke rape aur behan ke chori wale jawab sunne wale patrakar hain.,HOF
14,Socho tableeli ki kb tak hum bhutto k name pe muhtrma k name pe vote dete rahe gaiy aor ye choor loog hmare khoon passinay ki kamai khate ha,NOT
15,"Wo ghar par jo kal paratha bana kar rakh tha, use kha rahi hogi and ab master chef me jane ki tayari kar rahi hogi ... Kyuki baki kuch to aur us ke bas he nahi... Khairati winner ban kar and pese lekar bethi he, sharam bhi nahi aati use...I hate her...",HOF
16,: Daddy's little girl is so filthy she loves getting her pussy filled with daddy's warm piss,HOF
17,His was also a Muslim.His name was vaseem Katua,HOF
18,..i hate u bastard..pandya ko out krwa diya khud toh kuchh maarte nahi ... jo maar raha tha use bhi out karwa diya ..,HOF
19,sir gud evening.aaj fir ek bache ke sath rape hua hai school main delhi.plz koi aisa law ho ke Rape victim ko No umerkaid sidha fansi...,NOT
20,I hate LAAUU stories,NOT
21,Wah rashan card banvane ke name par rape krne mms banane vale khud kajri babu par alligation hai aap me sab rapist hai aur chale sikhane,HOF
22,: Hot chudai,HOF
23,natural sex video images noods hijra pictur,HOF
24,Potty mouth is a good thing. It's said only the most intelligent of people swear.,HOF
25,"Tumhara rape kab hua tha Kiran jii, aur kitne saalo ho raha hai, apko report karwana chahiye, be brave. Aage Bado inspiration bano.",NOT
26,Tere lund K bhuki hai saali chinaal Kuttiya. Peshaab pine ko tayaar Tera,HOF
27,Apki Randi app Sab ki wait kar rahi hai. Ab aa bhi jao uffffff,HOF
28,This shows tolerance limit of Gujju .. Gujjuo ko badnaam din raat karta hai or Abhi tak ya zinda kaisa hai .. Kamaal ka thanda khoon hai gujjus ka,NOT
29,Han dikha di aukat..tatte..teri...amm..a ka bh..osda..chal hatt bey l.od.u,HOF
30,Inhi supporters k khoon paseenay ki kamai Loottt kar mian sb ne London me flats bana liyee.. o koi sharam hoti ha koi haya hoti ha payann,HOF
31,"waise ek baat hai tum srk ke bina ek din nahi guzar sakte chahe like karo ya hate ADMIT IT, Please",NOT
32,jhuth aur dhokha badh raha. jeben bharni badh rahi viglante badh rahe . rape ghtnayen badh rahi chamcha giri badh rahi . kahte jao mahngai badh rahi,HOF
33,Calendar se ganghi hate to problem. But sleepper per Gandhi se koi prob nahi,HOF
34,: \xe2\x80\xa6,NOT
35,I can\xe2\x80\x99t sleep because I don\xe2\x80\x99t wanna miss the opening of the polls. That\xe2\x80\x99s never happened before.,NOT
36,Bc terrorism ko kis se compare kr rha h :/,NOT
37,betichod \xf0\x9f\x98\x82,HOF
38,"Bravo, A Indian BSF Officer\nHe is Supporting Murderers\nWho He killed a Human In Name of Love Jihad at Rajasthan \n",HOF
39,aur dalle harami kahan mara raha hai aaj kal..saale gaandu !!!,HOF
40,Ja be tujhse baat hi kaun kr rha h I just hate tera ro sir aur baki mujhe kisise problem nhi h tu mujhe hate kr ya na kr main tujhe hate nhi karungi kyunki main sirf uss chashme wale Tom cruise ki hater hoon aur kisiki nhi aur uska reason wo tweet tha jo usne luv k liye kia tha !,NOT
41,Iski maa ki choot. Mader chod Boarder per tumhari gaand me goli padni chahiye.,HOF
42,Toh saal se upr wali kisi ki maa beti nhi hai ya unko rape ho koi fark ni?,NOT
43,"Barabar ho raha he actress ke sath, rape bhi hona chahiye actress ke satha sale bibhats sinc dete samay sochna chahiye",NOT
44,...mona ko.ghar se nikaalo wo bahut boring hai kuch karti nhi bs jb dekho camera ke aage roti rahti hai i hate u,NOT
45,\xe2\x80\xa6,NOT
46,abhi bhi chal raha hai yeh,HOF
47,"Jignesh Bhai Aap aage bado. Musalman,Hindu Dalits sab Aapke Saath Hai. Hinduthwa Fascist ko kujli\xe2\x80\xa6",NOT
48,"best is witnessing current generation lahoriye kids, having a go at urdu in deliriously punjabi accent\xe2\x80\xa6",NOT
49,If I marry a man I want the right to triple talaaq him,NOT
50,To kya Hindu ko ye hi sikhate hai ki maa ki ijjat Karo or dusri girls ke Saath rape Karo,HOF
51,\n \n\nWhole instagram feed is full of virat and anuskha's wedding photos and videos \n\nSaala\xe2\x80\xa6,NOT
52,kya ji abhi To din hai na isliye night me,NOT
53,Tumhari aukat kya hai midi se chudna apnay bachon ko unse jalwana or rape karwaana lol nahi tum lul ho Rip,HOF
54,"AAP IS BHAGODE ko MUAAF KARDEN, ISME MARDON KA KHOON NAHI HAI. JO DEBATE KARE.",NOT
55,Hum To Jeet Gaye Rishi Kapooraaaaay Ab washroom mein ja k terrorism karein,NOT
56,"Saaley haraami sarkaari karamchari log, kaam, material sab A1 chahiye phir ghoos chahiye bill jaldi\xe2\x80\xa6",HOF
57,Haraami suna hai uska kuch nai pata\xf0\x9f\x98\x82,HOF
58,Abhi toh ye deal poori bhi nahi huyi pehle hi haar gaye yaar....terrorism band kya karna hai cricketers ne hi bomb phodne start kar diye,NOT
59,"Imaam ke imaan ka rape ho gaya, satak gaya hai gandu, imaam ko open challenge hai, aa jaa maidaan mein par naha ke aa",NOT
60,Maine bhi sunatha Pappu ke upar bhi rape case chalatha ushka kya hua???Tabhi..... Cong ka govt tha.Samajhadaro ko ishara hi kafi,NOT
61,Ap kya samajhte ho hum khud apne hi country main hum khud terrorism karahe hain,HOF
62,Pehle Main Boht Seedha Saadha Tha Phr Ak Din Meri Life Main Ak Haraami Ki Entry Hoe Aur Sab Badal Gaya,HOF
63,: RT if u like!!!\ndesi bhabhi gaand aur choot me ungli karti hui!!!\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5,HOF
64,"par fir bhi har din rape hota hai! har din bharat ke kisi na kisi kone me koi khilji hai jo kisi padmini pe aankh lagae hue hai, uss ke lie koi protest kyu nahi karta? tab koi khilji ko saja sunane ki maang kyu nahi karta?!",NOT
65,"Kyunki unhe chillane pe TRP milta hai. Uske baad woh jhoot nikle toh, unhe usme interest nahi rehta",HOF
66,Rape wala bhajpa,NOT
67,"logon se terrorism nahi hoti, you dumb, haan ek gang ban skata hai,",NOT
68,": When your crush post something freaky talking about ""mood""",NOT
69,One pappu talks of aloo the other of mushrooms ..chutiya banana inse sekha,HOF
70,"Kashyap madam ji kisi ko goli marane se pahle pucha jata hai ki goli lagi kya, rape hone se pahle kya pucha jata hai ki rape hua kya.",NOT
71,Azaadi k bad bhi kuch esa kro pak...hate felane se to abdus salam nhi bnte !!!,NOT
72,Soch chines sher tere baap ke ghar me ghuskr r\xe2\x80\xa6,NOT
73,"Tab to tumhare hisab se pakistan sabse shant desh hai,bharat me kabhi koi atankwadi hamla nahi hua, aur rape case to bharat me kbhi huye nhi",NOT
74,haan ! Congress ke rajya mein hota hi kya tha ..sirf ghotale scam rape mehangayi ..,NOT
75,: Hahaha mate you have never seen a woman naked that wasn\xe2\x80\x99t on a laptop screen have you,NOT
76,Jhant ka baal nhi he tu srk ka,HOF
77,Lund fasakr,HOF
78,I am currently listening to it on repeat while doing the dishes in the kitchen it's a true kitchen tatte dance time...,HOF
79,"Sir Rishi. Aab baap kon hai, pata chal gaya. Chalo choro, aap log har gai. Aab tu terrorism band kar do",NOT
80,Isko kon vote kara ga??? Hate him,HOF
81,"Bhai, ap age bhadthey raho, Dhalith, Hindu, Musalman, secular log ekattahothey Bjp Ko or paid media ko Dar suru hogaya,",NOT
82,Ap k desh wasiyon k dil to nafrat se bharay hoye hain but hope for the best,NOT
83,"Namaste sir , sir aap se milne ka process kya hai, kab hum mil sakte hai aap se. Ek dost ka meerut mai murder ho gaya hai",NOT
84,I also hate shikas...,NOT
85,: Triple talaaq: India considers jail for 'instant divorce',NOT
86,aapko koi kaise hate kar sakta hai,NOT
87,Omg..tu to boukhla gyi hai..haha..phurrr maine tera murder se karwani hai..aur ke thele ke niche chhupani hai..,NOT
