,tweet_raw_text,task_1
0,That is disgusting! It makes me sick! Why do these people have such hate in their hearts?,NOT
1,: Muslim refugees in SwedenThis is why we don't want them inUnited States Of America Muslims only want to take over USA,HOF
2,:  गुजरात दलितों के लिए बना नर्क   लगातार चौथे दिन घोडी चढने के मामले में दलितों पर जुल्म-अत्याचार।  अभी ईस वक्त गुजरात…,NOT
3,Tm to th per ho jis ny rape karna hai India chala jaye,NOT
4,"Tum rape k baat kar reheho toh main tumhe bolta hoon... Saare Musolmaanyoo ko desh se nikal do, dekho % rape bandh ho jayega.....",HOF
5,Lose your temper please. We want to see how UGLIER Khangress can get. Please Madam\xe2\x80\xa6,NOT
6,Betichod. \xf0\x9f\x98\xb6,HOF
7,: \nVikas: hinq bahut chaalu hai\n\nHina:abe gaandu bolna chutiya bolna vamp bolna PAR\nCHAALU MAT BOLNA mujhe\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,HOF
8,lack of communication can fuck up some good shit,HOF
9,Bhosdiw Pakistan me ladkio ka rape ni hota .. Bakrio ka hota hai :v,NOT
10,:  राहुल गांधी ने कहा - चौकीदार चोर है लेकिन अब राहुल गांधी ने लिखित में माफी मांग कर कहा है - की चौकीदार चोर नहीं है  अब…,NOT
11,chup hojao..hate nai sikaty,NOT
12,Missed the garage sale. He usually gets one for Fathers Day or his birthday to add to his collection.,NOT
13,: [INA GO ] BANTU RT YA Bongbong Doll cm by (pillow) exclude EMS Close th May,NOT
14,:  दल्ले तू अपनी नौकरी तो बचा नहीं पाया किसी की पगार कैसे काटेगा। https : //t.co/ulF7OqFvDc,HOF
15,Chawwal hai or zyada tar aise elite liberal cum irani supporters IK se nafrat krte hain,HOF
16,"I went Dany b/c I thought the ""queen of the ashes"" angle was almost too obvious-- but in hindsight,",NOT
17,"Shakal masoom or dimagh haraami, ye naimat bhe ksi ksi naseeb hti ha.",HOF
18,: Me staring at my carmex only after applying it minutes ago ment do it Dont do it Dont do it Dont do it,NOT
19,: God damn! I can't possibly get enough of _LuckyCharms massive fucking rack LIVE on cam .,HOF
20,Madam ne apna sara khoon donate ka diya hai...,NOT
